,fips,cases,deaths,employed-sugar-intake-daily,Democrats,Republicans
14644,34,1245344,28335,22.7,True,False
14645,36,2709306,56917,23.1,True,False
14646,37,1526197,18699,42.1,False,True
14647,39,1673496,26483,32.0,False,True
14648,40,662220,10879,46.5,False,True
14649,45,915671,14186,42.0,False,True
14650,49,592258,3487,30.3,False,True
14651,50,48120,406,16.7,True,False
14652,54,290909,4817,46.1,False,True
14653,55,968415,9944,29.7,False,True
14654,2,149116,853,26.2,False,True
14655,4,1264848,22229,33.0,False,True
14656,6,5063311,74385,22.9,True,False
14657,9,418473,8865,18.9,True,False
14658,11,66510,1196,18.5,True,False
14659,18,1088095,17386,35.9,False,True
14660,19,522858,7354,34.2,False,True
14661,20,462152,6704,32.4,False,True
14662,21,782745,10900,43.4,False,True
14663,24,584370,11186,28.0,True,False
14664,27,895353,9462,23.5,True,False
14665,28,512632,10262,49.7,False,True
14666,31,305358,3146,31.1,False,True
14667,34,1247213,28339,22.7,True,False
14668,36,2713812,56944,23.1,True,False
14669,37,1526197,18699,42.1,False,True
14670,39,1677741,26483,32.0,False,True
14671,40,662220,10879,46.5,False,True
14672,45,915671,14186,42.0,False,True
14673,49,592258,3487,30.3,False,True
14674,50,48120,406,16.7,True,False
14675,54,290909,4817,46.1,False,True
14676,55,968415,9944,29.7,False,True
14677,2,149836,854,26.2,False,True
14678,4,1266809,22230,33.0,False,True
14679,6,5080522,74553,22.9,True,False
14680,9,420785,8864,18.9,True,False
14681,11,66857,1196,18.5,True,False
14682,18,1100744,17438,35.9,False,True
14683,19,522858,7354,34.2,False,True
14684,20,466200,6716,32.4,False,True
14685,21,788249,11010,43.4,False,True
14686,24,585132,11190,28.0,True,False
14687,27,899863,9506,23.5,True,False
14688,28,513622,10264,49.7,False,True
14689,31,308384,3146,31.1,False,True
14690,34,1249454,28348,22.7,True,False
14691,36,2721968,56993,23.1,True,False
14692,37,1534351,18734,42.1,False,True
14693,39,1683472,26483,32.0,False,True
14694,40,666040,10879,46.5,False,True
14695,45,917833,14209,42.0,False,True
14696,49,594738,3508,30.3,False,True
14697,50,49801,410,16.7,True,False
